fraction_percent,class_name,dinov2_roc_auc_mean,dinov2_roc_auc_std,resnet18_roc_auc_mean,resnet18_roc_auc_std,roc_auc_gap_mean,roc_auc_gap_std,resnet18_roc_auc_wins,dinov2_roc_auc_wins,dinov2_ap_mean,dinov2_ap_std,resnet18_ap_mean,resnet18_ap_std,ap_gap_mean,ap_gap_std,resnet18_ap_wins,dinov2_ap_wins
100,cardiomegaly,0.7729011699102327,0.002323472627138595,0.8941964963415003,0.009337465515218813,0.12129532643126757,0.011591626079686123,3,0,0.09415005392214067,0.0017830026210349824,0.24225869769125707,0.03783834172856045,0.1481086437691164,0.03648172563770441,3,0
100,effusion,0.8160746046760549,0.0008563754610543624,0.8789438702320541,0.0017648509137731649,0.06286926555599937,0.0017535696764753314,3,0,0.35766230131435645,0.00123066354036036,0.4933773981276876,0.009150172272761591,0.13571509681333113,0.008298957185543509,3,0
100,infiltration,0.6687480591209923,0.0004508361980739331,0.7041479777678895,0.0028708089809319458,0.03539991864689729,0.0033155764347836797,3,0,0.31557071654565755,0.0005340593379106295,0.3402771651133853,0.002301684193140063,0.024706448567727763,0.002835177089574073,3,0
100,mass,0.7154965955572337,0.0019323480152803128,0.8443978352526585,0.01240151297908107,0.12890123969542497,0.012218723971308795,3,0,0.153493462489304,0.0006693729525407814,0.37864926494314627,0.02243334714614435,0.22515580245384223,0.023094968390907137,3,0
100,nodule,0.6744532294554152,0.0022728521938649555,0.7393171727003204,0.0067707329957171734,0.06486394324490523,0.008229866657951229,3,0,0.12385248092819079,0.0018288929160743623,0.18890406284547678,0.008470307343688996,0.06505158191728601,0.009103908846164493,3,0
100,pneumonia,0.7078015487935062,0.008432324074069176,0.7461891694779071,0.01029899555021084,0.038387620684400936,0.0066654864863007965,3,0,0.029268491836051635,0.0010347750805100127,0.049503231677393796,0.006084714990078616,0.020234739841342168,0.005430242962550831,3,0
100,pneumothorax,0.810223330790293,0.0019134405744531445,0.8757389630814735,0.0032210529289713147,0.06551563229118056,0.005134032538667332,3,0,0.2232784076916793,0.005199991118449863,0.3289214303380817,0.014414324731378977,0.10564302264640239,0.018087231068560503,3,0
100,consolidation,0.7808052777480102,0.0012088113425911637,0.8114634829492764,0.002155256399659731,0.030658205201266164,0.0027843454065053026,3,0,0.11889354031744892,0.0006201442072398298,0.1456244080947118,0.006285109702628687,0.02673086777726287,0.006260204116506498,3,0
100,edema,0.8780949571951479,0.00014860839488434012,0.9035972713797379,0.005962638235350493,0.02550231418459011,0.005814073216195928,3,0,0.1078372868059705,0.001273466375225454,0.15406563157246123,0.005124593039343221,0.04622834476649074,0.003918752798394867,3,0
100,emphysema,0.7891674176639212,0.001041369182459132,0.8738238742609372,0.002724637893594299,0.08465645659701597,0.002373999652217448,3,0,0.12376431498217562,0.0023708092492404804,0.2558096828298045,0.00698780988788791,0.1320453678476289,0.00461748163860837,3,0
100,fibrosis,0.7320044677034384,0.0008360050349787986,0.8064210156467723,0.01657105584755554,0.07441654794333397,0.015791684375187433,3,0,0.05805118461771624,0.0017374802223530455,0.08799029285725395,0.01787008511969691,0.029939108239537698,0.016133727496646426,3,0
100,pleural,0.7519723670353992,0.0026925293087343943,0.7882849939844293,0.010886139886369696,0.03631262694903007,0.008193711403275654,3,0,0.11629583604505866,0.001850171882471821,0.14085558529484649,0.013999176407585402,0.02455974924978783,0.012357949430074764,3,0
100,hernia,0.8022793029862667,0.006481223569921786,0.8637567696127847,0.021914295505532408,0.061477466626518096,0.01618336414725824,3,0,0.04923936292495806,0.00660767242865591,0.09877838210404954,0.01724707683637442,0.049539019179091474,0.01775488838345026,3,0
